estado,NameState,year,Homicides,MortInfResp,Poverty,AccessHealth,WomenActiveEcon,Analfabeto,AveSchool,LifeExp,MortInf,HospBeds,DocNurse,NetMigration,WomenAdmin,AveSalary,GDPpc
10,Durango,2005,12.0672086056436,11.4040039457854,63.8711600493283,54.5047719744507,32.802096041784,4.8,8.01,74.9637432942345,15.5536770921386,0.933452856161427,2.87569881268883,-0.675955224909783,0.339068593243299,3855.168732,70660.0153870625
11,Guanajuato,2005,4.01309814945305,21.1532553349014,51.0750392694418,41.0633391237504,37.7606184780347,10.4,7.15,74.4825991686641,16.7784121083378,0.476861568838764,1.76161820175521,-1.20434394323633,0.20571901396311,4098.08771225,63716.9237816898
12,Guerrero,2005,22.8348688144348,27.5938875810104,70.6308806290115,25.3989977458506,36.5761087290645,19.9,6.78,71.6407229174835,20.582171012735,0.451858198791597,2.2716913862943,-1.28519480865136,0.275051911819373,3587.61271525,43297.1181067181
13,Hidalgo,2005,4.71153807761261,29.6968719294901,55.1280284931642,35.4448610295909,37.8512906046828,12.8,7.44,73.2650315713916,18.7555977029661,0.487923689054458,2.28589453341798,-0.613258587576712,0.582973347821094,3864.30391225,53875.4073066871
14,Jalisco,2005,5.56238944026718,19.0191550061133,39.2642279880028,50.5185334760241,38.7890631180607,5.5,8.24,74.6025422311729,14.202311291204,0.85927328540794,2.41456952030765,-0.336756327362842,0.143923338283281,4854.0902075,84113.9175667637
15,México,2005,16.2503792106433,66.8881803257987,35.7668875627487,45.550086928639,35.554253527071,5.3,8.69,74.2169417204913,19.545918149828,0.457582013830176,1.45459511965914,0.132363659458936,0.384684058809291,4273.43823725,59354.0404963394
16,Michoacán,2005,10.0852236829395,22.6773844829446,49.5609378585518,29.3446234302656,38.9800582493833,12.6,6.93,73.6944444479162,16.9440823914019,0.50071836552299,1.93768559941066,-1.09862805529726,0.710654567677343,3891.08206125,49348.3827574852
17,Morelos,2005,9.51268308199041,18.5301413670462,34.1159418652809,37.5230756882575,39.3431439746936,8.1,8.41,74.827579749316,15.0869719559815,0.566004643378429,2.57972074329727,-0.235201089202213,0.214911045693076,4041.226323,68600.5867408222
18,Nayarit,2005,9.32255125147732,12.6781029657009,42.4501486849096,41.9036649655517,38.3948291370859,8,8.02,74.345141279651,14.3370941518451,0.64155191408016,3.20475229580355,0.220533470465055,0.297586568730325,4136.388525,60351.5951826288
19,Nuevo León,2005,3.30216977955823,8.60329064241004,21.8611428484004,71.7958446234441,35.9242731543978,2.8,9.45,75.9963849839296,11.1821274291701,0.704770780923896,2.42120630340336,0.255167664784045,0.2342,6029.83419475,145878.070496916
20,Oaxaca,2005,28.0832951066258,40.9932207165046,67.2852460135401,25.2404815498352,39.4482642527386,19.3,6.39,71.6268793356399,20.0943439855709,0.482189910282806,1.76073992681808,-1.33239633450325,0.485878184189568,3174.17682375,36580.3058388393
21,Puebla,2005,6.14894807907583,61.3804685479624,57.8681190621285,29.1123479532839,38.8138191103381,12.7,7.43,73.5532021514151,22.543933305344,0.644106819309644,1.85983139259789,-0.924614257192646,0.11496318605925,3655.434745,53160.2337293793
22,Querétaro,2005,4.01811935469003,23.0689170484662,52.6455099633613,53.3711430485944,38.6140733138313,8.1,8.33,74.4055021910175,16.0790289527613,0.446720328256715,2.09355836377453,-0.244100750797419,0.386937222574509,4674.41017625,98001.0619836731
23,Quintana Roo,2005,10.4911997348107,7.58399271936699,33.1191461668962,53.9733435365393,36.9110375003559,6.6,8.49,74.7321386180681,15.6660287507232,0.446096392085227,2.10088478723142,1.89167792193137,0.312072026943014,5953.96596,123083.440636728
24,San Luis Potosí,2005,7.10343366260708,32.7529987189938,56.8379741184789,43.1422603852402,36.6752218237423,9.9,7.71,73.6912072574786,17.015331709414,0.554955754891178,2.13990939086038,-0.822948933980445,0.162769426548954,4340.0903395,66443.2314973074
25,Sinaloa,2005,22.6464938095865,14.2735308076321,33.5518292475033,55.2249440159336,36.4739341739169,6.4,8.53,74.9894185703778,12.4198506807202,0.776079352719327,2.97565260204123,-0.465275748022243,0.355373064061309,4937.36743675,72575.3736124472
26,Sonora,2005,10.9927316058622,19.9184874207091,38.5828013873561,63.2397458800241,35.3114623501494,3.7,8.88,74.4585543833094,14.156643839558,0.964162495757805,2.91087532923231,0.058881067837946,0.112267433137027,5199.48767925,92784.7183168241
27,Tabasco,2005,3.96164561099187,20.8335104890348,68.1289530222531,35.2716156109588,29.026836554879,8.6,8.03,73.7900253241461,15.3625269203159,0.6333916732812,3.03396026375127,-0.5113824209522,0.785287770537828,4291.7764555,57023.4290008242
28,Tamaulipas,2005,11.6086122245515,18.1552368302868,40.2749674836265,56.0684264282251,36.5143732540326,4.5,8.71,75.0552703068384,14.9345935844569,0.852273743432761,3.00620784358484,0.125483570236819,0.392436271332901,5710.34428425,94055.2199855756
29,Tlaxcala,2005,31.8569894234795,55.6372451615467,62.0904270870413,36.825132434056,36.2214883736792,6.7,8.27,74.1461906332399,20.7219769153304,0.5115322301713,2.46391058198169,-0.382738972930661,0.891829914317204,3393.58296025,46168.4657571082
30,Veracruz,2005,6.19439050031512,30.2553145140795,57.0509471711407,35.5112126565298,33.7278544591198,13.4,7.16,72.9182860252418,17.6542398347263,0.644540501732135,2.24361093829496,-0.822234488045096,0.332290370847346,4083.52200825,56286.7371611137
31,Yucatán,2005,1.19042014796922,14.1190014607736,51.5878768096538,51.4321566030171,37.9383335448307,10.9,7.59,74.5814188428201,14.1143260409315,0.768903195574667,2.6779042328635,-0.166117720648433,0.435993696700037,3890.84926475,72615.5510167065
32,Zacatecas,2005,4.03525982203113,21.6364816535363,71.8224219855082,36.0569249928687,33.7658616223676,7.2,7.2,74.3455906689109,14.8914612054408,0.525975245768195,2.27087725157062,-1.09265095698274,0.166699837463097,3918.73505025,45239.952807025
01,Aguascalientes,2006,2.333724381765,15.4206760424377,41.8211949787447,90.6913119929198,37.5431442202205,3.9,8.80945837270792,75.0516567469172,13.0601888130154,0.712683522739003,4.3362394185795,-0.313078101676781,0.496867408259813,4746.429871,99074.0173770668
02,Baja California,2006,85.4830945234185,21.0701602351702,34.7409937222381,71.4169219195013,37.2862332787514,3,8.94472600728406,73.1658308601844,16.8056676531253,0.555846633349455,2.72851845881025,0.770662045246924,0.212227125625184,4746.429871,117294.817241147
